,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
228,2d_resnet34,classification,8,25,0.0001,15,64,,100,,0.597957968711853,0.62,0.81
229,2d_resnet34,classification,8,25,0.0001,15,64,,0,,0.612659931182861,0.61,0.8200000000000001
230,2d_resnet34,classification,8,25,0.0001,15,64,,10000,,0.611421406269073,0.62,0.8200000000000001
97,2d_resnet34,regression,16,25,0.0001,15,64,,10,0.05290824115734501,152.33448791503906,0.72,0.86
98,2d_resnet34,regression,16,25,0.0001,15,64,,1000,0.08370560994413001,147.38092041015625,0.75,0.87
99,2d_resnet34,regression,16,25,0.0001,15,64,,100,0.010487762547397,159.1575927734375,0.7000000000000001,0.85
100,2d_resnet34,regression,16,25,0.0001,15,64,,0,-0.000708873820046,160.95849609375,0.7000000000000001,0.87
101,2d_resnet34,regression,16,25,0.0001,15,64,,10000,0.045406527463327004,153.5410919189453,0.72,0.87
216,2d_resnet34,classification,16,25,0.0001,15,64,,10,,0.610825836658477,0.55,0.79
217,2d_resnet34,classification,16,25,0.0001,15,64,,1000,,0.5501856207847591,0.66,0.84
218,2d_resnet34,classification,16,25,0.0001,15,64,,100,,0.5695558190345761,0.65,0.84
219,2d_resnet34,classification,16,25,0.0001,15,64,,0,,0.579530298709869,0.64,0.8200000000000001
220,2d_resnet34,classification,16,25,0.0001,15,64,,10000,,0.6129236817359921,0.6000000000000001,0.81
112,2d_resnet34,regression,32,25,0.0001,15,64,,10,-0.011433613667549001,162.6835174560547,0.7000000000000001,0.86
113,2d_resnet34,regression,32,25,0.0001,15,64,,1000,0.024791507490127002,156.85691833496094,0.73,0.87
114,2d_resnet34,regression,32,25,0.0001,15,64,,100,0.097583833660752,145.14866638183594,0.74,0.88
115,2d_resnet34,regression,32,25,0.0001,15,64,,0,-0.018768587442896,163.86331176757812,0.71,0.86
116,2d_resnet34,regression,32,25,0.0001,15,64,,10000,-0.000851447125161,160.98143005371094,0.74,0.88
231,2d_resnet34,classification,32,25,0.0001,15,64,,10,,0.576968252658844,0.66,0.84
232,2d_resnet34,classification,32,25,0.0001,15,64,,1000,,0.524776697158813,0.72,0.86
233,2d_resnet34,classification,32,25,0.0001,15,64,,100,,0.551124393939971,0.65,0.85
234,2d_resnet34,classification,32,25,0.0001,15,64,,0,,0.5853004455566401,0.63,0.8200000000000001
235,2d_resnet34,classification,32,25,0.0001,15,64,,10000,,0.567968130111694,0.67,0.84
